Time,Open,High,Low,Close,Volume
2019.02.19 03:00:00,1.13052,1.13069,1.1302,1.13038,1217
2019.02.19 02:00:00,1.13113,1.13134,1.13027,1.13052,1177
2019.02.19 01:00:00,1.13093,1.13123,1.13091,1.13113,370
2019.02.19 00:00:00,1.13087,1.13104,1.13063,1.13094,466
2019.02.18 23:00:00,1.13139,1.13151,1.13079,1.13081,2249
2019.02.18 22:00:00,1.13116,1.1316,1.13109,1.1314,1357
2019.02.18 21:00:00,1.13102,1.13123,1.13086,1.13116,704
2019.02.18 20:00:00,1.13105,1.13129,1.13069,1.13102,1119
2019.02.18 19:00:00,1.13057,1.13107,1.13019,1.13107,964
2019.02.18 18:00:00,1.13065,1.1313,1.13042,1.13057,2306
2019.02.18 17:00:00,1.13215,1.1322,1.13042,1.13065,2797
2019.02.18 16:00:00,1.13215,1.13268,1.13192,1.13215,2086
2019.02.18 15:00:00,1.13304,1.13307,1.132,1.13217,2396
2019.02.18 14:00:00,1.133,1.13335,1.13244,1.13304,2004
2019.02.18 13:00:00,1.13276,1.1331,1.13239,1.133,1885
2019.02.18 12:00:00,1.13151,1.13299,1.13106,1.13274,2548
2019.02.18 11:00:00,1.13072,1.13186,1.13055,1.13152,2337
2019.02.18 10:00:00,1.13069,1.13083,1.12945,1.13072,2990
2019.02.18 09:00:00,1.13078,1.13153,1.13012,1.13069,2263
2019.02.18 08:00:00,1.1308,1.13112,1.13061,1.13078,983
2019.02.18 07:00:00,1.13116,1.1313,1.13061,1.1308,991
2019.02.18 06:00:00,1.13169,1.13178,1.13103,1.13116,706
2019.02.18 05:00:00,1.13172,1.13213,1.13159,1.13169,1093
2019.02.18 04:00:00,1.13092,1.13245,1.13089,1.13173,1795
2019.02.18 03:00:00,1.13025,1.13112,1.13022,1.13093,1224
2019.02.18 02:00:00,1.12946,1.13046,1.12934,1.13025,1243
2019.02.18 01:00:00,1.12903,1.12955,1.1289,1.12945,891
2019.02.18 00:00:00,1.12917,1.12933,1.12886,1.12903,470
2019.02.15 23:00:00,1.12987,1.12992,1.12901,1.12905,1154
2019.02.15 22:00:00,1.12947,1.13006,1.12943,1.12987,1529
2019.02.15 21:00:00,1.12994,1.13031,1.12937,1.12947,2529
2019.02.15 20:00:00,1.12727,1.13058,1.12717,1.12994,3542
2019.02.15 19:00:00,1.12678,1.12768,1.12663,1.12727,2376
2019.02.15 18:00:00,1.12629,1.12745,1.12603,1.12678,4447
2019.02.15 17:00:00,1.12687,1.12762,1.12573,1.12629,6086
2019.02.15 16:00:00,1.12525,1.12851,1.12514,1.12684,7728
2019.02.15 15:00:00,1.12625,1.12636,1.12336,1.12525,8177
2019.02.15 14:00:00,1.12724,1.12796,1.12579,1.12625,3299
2019.02.15 13:00:00,1.1274,1.1277,1.12714,1.12725,2646
2019.02.15 12:00:00,1.12828,1.12859,1.12737,1.12739,2455
2019.02.15 11:00:00,1.1276,1.12835,1.12712,1.12828,2763
2019.02.15 10:00:00,1.12788,1.12805,1.12678,1.1276,3108
2019.02.15 09:00:00,1.12888,1.12909,1.12711,1.12788,2943
2019.02.15 08:00:00,1.12846,1.12893,1.12842,1.12889,997
2019.02.15 07:00:00,1.12868,1.12873,1.12822,1.12846,984
2019.02.15 06:00:00,1.12861,1.12868,1.12832,1.12868,627
2019.02.15 05:00:00,1.12878,1.1289,1.12855,1.12861,571
2019.02.15 04:00:00,1.12869,1.12887,1.12841,1.12878,849
2019.02.15 03:00:00,1.12923,1.12924,1.12852,1.12869,1781
2019.02.15 02:00:00,1.12943,1.12966,1.12895,1.12923,1427
2019.02.15 01:00:00,1.12942,1.12964,1.12935,1.12943,899
2019.02.15 00:00:00,1.1295,1.12958,1.12927,1.12943,661
2019.02.14 23:00:00,1.12911,1.12946,1.12906,1.12939,746
2019.02.14 22:00:00,1.13003,1.13007,1.1291,1.12912,1995
2019.02.14 21:00:00,1.12991,1.13024,1.12967,1.13004,1981
2019.02.14 20:00:00,1.12963,1.13,1.12915,1.12991,2309
2019.02.14 19:00:00,1.12835,1.12979,1.12804,1.12963,3552
2019.02.14 18:00:00,1.12762,1.12838,1.12703,1.12835,4244
2019.02.14 17:00:00,1.12955,1.12962,1.12642,1.1276,6777
2019.02.14 16:00:00,1.13022,1.13047,1.12881,1.12955,6646
2019.02.14 15:00:00,1.12653,1.13095,1.12607,1.13021,7969
2019.02.14 14:00:00,1.12688,1.12765,1.12631,1.12654,2828
2019.02.14 13:00:00,1.12713,1.12793,1.12646,1.1269,2858
2019.02.14 12:00:00,1.1266,1.12816,1.12659,1.12713,3230
2019.02.14 11:00:00,1.12594,1.12694,1.12561,1.12661,3053
2019.02.14 10:00:00,1.12858,1.12897,1.12493,1.12594,5378
2019.02.14 09:00:00,1.12771,1.12944,1.12713,1.12857,3854
2019.02.14 08:00:00,1.12795,1.128,1.12739,1.12771,1405
2019.02.14 07:00:00,1.12798,1.12832,1.12785,1.12795,1091
2019.02.14 06:00:00,1.12817,1.12817,1.12765,1.12798,1087
2019.02.14 05:00:00,1.12719,1.12834,1.12719,1.12817,1560
2019.02.14 04:00:00,1.12691,1.12722,1.12682,1.12719,958
2019.02.14 03:00:00,1.12638,1.12694,1.1262,1.12691,1394
2019.02.14 02:00:00,1.12642,1.1268,1.12604,1.12638,1090
2019.02.14 01:00:00,1.12562,1.12645,1.12551,1.12642,955
2019.02.14 00:00:00,1.12609,1.12658,1.12488,1.12563,2536
2019.02.13 23:00:00,1.12661,1.12673,1.12595,1.12595,1010
2019.02.13 22:00:00,1.12699,1.12716,1.12637,1.12661,1623
2019.02.13 21:00:00,1.1279,1.1279,1.12664,1.127,2954
2019.02.13 20:00:00,1.12758,1.12826,1.12758,1.1279,1892
2019.02.13 19:00:00,1.12874,1.12896,1.12721,1.12757,2925
2019.02.13 18:00:00,1.12863,1.12903,1.12829,1.12874,3143
2019.02.13 17:00:00,1.12978,1.13035,1.12852,1.12861,4310
2019.02.13 16:00:00,1.12911,1.12985,1.12805,1.12979,5211
2019.02.13 15:00:00,1.13052,1.13086,1.12886,1.1291,6213
2019.02.13 14:00:00,1.13292,1.13294,1.13044,1.13052,2991
2019.02.13 13:00:00,1.13165,1.1331,1.13107,1.13292,2761
2019.02.13 12:00:00,1.13204,1.13204,1.13122,1.13164,2683
